priority,type,company,person_or_role,public_contact,channel,fit_signal,source_url,fit_score,status
11,Customs Broker,ACCB Customs Broker,Licensed Customs Broker,imports@accb.us,email,"Nationally licensed broker explicitly handles Lacey Act for wood furniture/articles of wood and USDA/PGA work.",https://www.accb.us/why-us,9,Not contacted
12,Customs Broker,Priority Import-Export Services,Licensed Customs Broker,info@priorityimex.com,email,"Small/mid-size importer focus; public Lacey declaration resources and full customs/PGA workflow.",https://priorityimport.com/,8,Not contacted
13,Customs Broker,CBPbrokers,Furniture Import Customs Team,Website contact,web form,"Furniture guidance explicitly requires PPQ/Lacey scientific name and country-of-harvest information.",https://www.cbpbrokers.com/faq/?opt=furniture,8,Not contacted
14,Customs Broker,Speedy Customs Broker Inc.,Tiffany Li / CEO,USA@Speedycustomsbroker.com,email,"Licensed broker publicly lists commercial invoice, packing list and Lacey declaration among documents required for evaluation.",https://speedycustomsbroker.com/,8,Not contacted
15,Customs Broker,SHIPIT Logistics,Customs Brokerage Partnerships,310-523-2300,phone,"Arranges licensed brokerage and explicitly lists USDA including Lacey Act filing; useful channel discovery though brokerage is partner-delivered.",https://www.shipit.com/customs-brokerage,7,Not contacted
16,Importer,Patriot Timber Products,Import / Responsible Sourcing Team,336-299-7755,phone,"Very strong pain fit: suppliers must provide VAT invoices, transport/transaction records, harvest permits, bills of lading, POs, commercial invoices, packing lists, phyto and certificates of origin for wood sourcing due diligence.",https://www.patriottimber.com/Patriot-Timber-Products-Wood.php,10,Not contacted
17,Importer,Cabinetworks Group,Customs / Trade Compliance,Company careers/contact,LinkedIn,"Supplier terms require legally sourced wood under Lacey and supplier disclosure of materials/composition; multi-supplier cabinet supply chain.",https://cabinetworksgroup.com/suppliers-terms-and-conditions/,10,Not contacted
18,Importer,Clarke Veneers and Plywood,Bronson Newburger / EVP Plywood Procurement,bnewburger@clarkeveneers.com,email,"Operates a documented Verified Vendor Legality Assurance System; chief compliance/executives review suppliers and supply-chain legality.",https://www.clarkeveneers.com/lacey-act,10,Not contacted
19,Importer,Advantage Lumber,International & Wholesale / Import Operations,1-877-232-3915,phone,"Direct sourcing/mills in Brazil, 70+ species and explicit Lacey documentation/traceability from source; operationally close to LT evidence model.",https://www.advantagelumber.com/WhyChooseUs/,9,Not contacted
20,Importer,NK International Trading,Import / Regulatory Compliance,Website contact,web form,"Licensed U.S. Importer of Record; explicitly manages Lacey compliance, chain-of-custody verification, container logistics, customs clearance and global suppliers.",https://www.nktrading.us/,10,Not contacted
21,Importer,CALI Floors,Import / Supplier Compliance,Website contact,web form,"States it is an importer/distributor; requires supplier education and accurate species/genus/quantity/country-of-harvest information for Lacey declarations.",https://www.califloors.com/us-lacey-act-policy-statement,10,Not contacted
22,Importer,KAYU International,Import / Product Compliance,wood@kayu.com,email,"Direct importer of tropical hardwood for U.S./Canada with Lacey/SVLK claims and species-heavy supplier chain.",https://www.kayu.com/wood-patio-porches/,9,Not contacted
23,Importer,Galleher,Responsible Sourcing / Lacey Compliance Team,Website contact,web form,"Dedicated staff implement Lacey policy and continuously work with suppliers to mitigate illegal-wood provenance risk.",https://www.galleher.com/laceyact,9,Not contacted
24,Importer,Plywood Pro LLC,Import Operations,Website consultation form,web form,"U.S.-based direct birch-plywood importer with warehouse inventory and explicit Lacey compliance; likely compact reachable team.",https://plywoodprousa.com/,9,Not contacted
25,Importer,Exotic Tropical Woods,Import / Wholesale Operations,contact@exotictropicalwoods.com,email,"Direct Dominican Republic-to-U.S. hardwood sourcing; advertises full chain-of-custody documentation on every shipment and Lacey compliance.",https://www.exotictropicalwoods.com/,9,Not contacted
26,Importer,MJB Wood Group,Import / Supply Chain Compliance,Company contact form,web form,"Active wood-products supply-chain company; direct public contact route and current exposure to imported panel/wood sourcing makes evidence workflow relevant.",https://www.mjbwood.com/contact-us,8,Not contacted
27,Importer,Rugby Architectural Building Products / HDI,Import Division / Supply Chain Compliance,Company contact,web form,"Current industry profile states global Import Divisions audit vendors for Lacey legal-fiber and TSCA supply-chain compliance.",https://millerwoodtradepub.com/the-growth-continues-at-hdi/,8,Not contacted
28,Importer,Serendipity Collection Floors,Import / Product Compliance,info@serendipitycollection.com,email,"Hardwood-flooring company explicitly describes importer species/country-of-origin declaration requirements and publishes direct contact.",https://serendipitycollection.com/eco-friendly-flooring/,8,Not contacted
29,Importer,RH,Global Trade / Import Compliance,Corporate trade-compliance role,LinkedIn,"2026 SEC filing explicitly states certain products sold are subject to the Lacey Act and composite-wood regulation; high-volume but enterprise sales cycle.",https://www.sec.gov/Archives/edgar/data/1528849/000110465926037992/rh-20260131x10k.htm,7,Not contacted
30,Importer,Shaw Industries Group,Responsible Wood Procurement / Trade Compliance,Corporate contact/LinkedIn,LinkedIn,"Responsible Wood Procurement policy appoints a program administrator and ties supplier legal sourcing to Lacey Act requirements; large enterprise learning prospect.",https://shawpropertysolutions.com/c/about-us-supplier-responsibility/shaw-responsible-wood-procurement-policy,7,Not contacted
